ibgeID;Municipio;ESPVIDA;E_ANOSESTUDO;T_ANALF18M;RDPC;IDHM
1100015;ALTA FLORESTA D'OESTE;70,75;8,67;13;476,99;0,641
1100023;ARIQUEMES;73,36;9,18;8,53;689,95;0,702
1100031;CABIXI;70,39;10,09;14,73;457,17;0,65
1100049;CACOAL;74,27;9,74;8,94;738,06;0,718
1100056;CEREJEIRAS;72,94;10,22;11,17;577,18;0,692
1100064;COLORADO DO OESTE;73,81;10,4;13,41;535,41;0,685
1100072;CORUMBIARA;71,45;9,82;13,55;402,15;0,613
1100080;COSTA MARQUES;70,04;9,22;9,39;370,77;0,611
1100098;ESPIGÃO D'OESTE;74,15;9,55;12,18;590,8;0,672
1100106;GUAJARÁ-MIRIM;74,39;8,17;8,7;494,69;0,657
1100114;JARU;74,51;9,42;11,49;575,14;0,689
1100122;JI-PARANÁ;73,6;9,95;8,38;743,35;0,714
1100130;MACHADINHO D'OESTE;70,32;7,8;12,85;401,42;0,596
1100148;NOVA BRASILÂNDIA D'OESTE;70,75;9,44;12,31;499,59;0,643
1100155;OURO PRETO DO OESTE;73,72;9,17;11,18;576,51;0,682
1100189;PIMENTA BUENO;73,15;9,08;9,04;734,76;0,71
1100205;PORTO VELHO;74,14;8,99;5,43;929,19;0,736
1100254;PRESIDENTE MÉDICI;72,51;9,78;13,23;520,2;0,664
1100262;RIO CRESPO;73,77;9,03;14,36;420,61;0,643
1100288;ROLIM DE MOURA;73,46;9,9;9,74;657,65;0,7
1100296;SANTA LUZIA D'OESTE;73,73;9,71;14,13;476,08;0,67
1100304;VILHENA;73,49;10,55;6,52;768,98;0,731
1100320;SÃO MIGUEL DO GUAPORÉ;71,87;9,72;11,84;440,6;0,646
1100338;NOVA MAMORÉ;71,15;7,7;14,22;377,34;0,587
1100346;ALVORADA D'OESTE;70,75;9,78;14,11;469,26;0,643
1100379;ALTO ALEGRE DOS PARECIS;71,64;9,46;14,86;341,22;0,592
1100403;ALTO PARAÍSO;73,22;7,61;12,83;498,49;0,625
1100452;BURITIS;70,08;8,3;10,67;458,05;0,616
1100502;NOVO HORIZONTE DO OESTE;72,92;8,8;15,68;346,38;0,634
1100601;CACAULÂNDIA;73,08;9,44;14,34;499,93;0,646
1100700;CAMPO NOVO DE RONDÔNIA;71,34;7,86;13,46;507,69;0,593
1100809;CANDEIAS DO JAMARI;74,11;8,19;11,93;463,63;0,649
1100908;CASTANHEIRAS;73,15;9,96;15,6;455,53;0,658
1100924;CHUPINGUAIA;74,21;9,53;11,19;483,36;0,652
1100940;CUJUBIM;72,33;8,01;13,01;495,31;0,612
1101005;GOVERNADOR JORGE TEIXEIRA;70,71;9;14,64;396,36;0,596
1101104;ITAPUÃ DO OESTE;70,08;9,16;14,24;411,36;0,614
1101203;MINISTRO ANDREAZZA;71,55;8,95;13,93;448,38;0,638
1101302;MIRANTE DA SERRA;72,99;9,76;14,71;527,79;0,643
1101401;MONTE NEGRO;70,71;9,65;15,74;443,85;0,607
1101435;NOVA UNIÃO;70,17;8,7;15,11;352,24;0,587
1101450;PARECIS;73;8,96;16,03;343,73;0,617
1101468;PIMENTEIRAS DO OESTE;73,98;9,52;10,4;493,67;0,665
1101476;PRIMAVERA DE RONDÔNIA;72,94;9,65;14,63;442,61;0,641
1101484;SÃO FELIPE D'OESTE;71,78;10,57;15,9;368,24;0,649
1101492;SÃO FRANCISCO DO GUAPORÉ;70,04;9,44;10,42;477,9;0,611
1101500;SERINGUEIRAS;71,75;8,97;11,41;441,13;0,598
1101559;TEIXEIRÓPOLIS;74,09;9,2;14,04;464,45;0,643
1101609;THEOBROMA;70,4;8,14;16,37;382,6;0,589
1101708;URUPÁ;71,32;8,92;15,49;380,5;0,609
1101757;VALE DO ANARI;70,36;8,4;16,45;394,02;0,584
1101807;VALE DO PARAÍSO;72,5;9,28;14,13;432,03;0,627
1200013;ACRELÂNDIA;73,45;7,35;17,11;303,76;0,604
1200054;ASSIS BRASIL;71,19;7,08;22,42;291,33;0,588
1200104;BRASILÉIA;71,22;7,42;19,58;376,07;0,614
1200138;BUJARI;71,32;8,59;26,78;340,95;0,589
1200179;CAPIXABA;72,62;7,47;23,84;336,17;0,575
1200203;CRUZEIRO DO SUL;71,58;9,13;20,36;450,06;0,664
1200252;EPITACIOLÂNDIA;71,27;8,85;17,72;467,83;0,653
1200302;FEIJÓ;68,35;7,03;37,81;259,43;0,539
1200328;JORDÃO;68,83;5,73;29,87;178,03;0,469
1200336;MÂNCIO LIMA;71,17;9,49;26,18;295,5;0,625
1200344;MANOEL URBANO;71,04;5,88;34,77;307,7;0,551
1200351;MARECHAL THAUMATURGO;68,55;7,52;38,36;157,27;0,501
1200385;PLÁCIDO DE CASTRO;72,17;8,72;20,1;321,16;0,622
1200393;PORTO WALTER;68,58;7,79;37,41;204,19;0,532
1200401;RIO BRANCO;72,85;9,72;9,71;744,67;0,727
1200427;RODRIGUES ALVES;69,18;8,51;34,46;200,58;0,567
1200435;SANTA ROSA DO PURUS;71,86;4,72;27,62;201,58;0,517
1200450;SENADOR GUIOMARD;72,17;8,79;19,28;455,06;0,64
1200500;SENA MADUREIRA;73,59;7,56;26,81;320,8;0,603
1200609;TARAUACÁ;68,21;7,19;34,37;251,53;0,539
1200708;XAPURI;71,38;7,66;24,14;382,24;0,599
1200807;PORTO ACRE;71,24;8,35;25,65;319,71;0,576
1300029;ALVARÃES;71,69;5,96;22,53;178,67;0,527
1300060;AMATURÁ;71,36;7,18;24,66;178,69;0,56
1300086;ANAMÃ;69,48;8,65;17,42;226,82;0,594
1300102;ANORI;70,42;7,27;21,15;229,94;0,561
1300144;APUÍ;71,29;8,74;11,64;380,62;0,637
1300201;ATALAIA DO NORTE;68,95;4,63;37,39;159,21;0,45
1300300;AUTAZES;72,91;8,11;17,11;228,43;0,577
1300409;BARCELOS;68,69;4,34;35,24;237,29;0,5
1300508;BARREIRINHA;71,45;8,21;11,43;148,28;0,574
1300607;BENJAMIN CONSTANT;70,78;8,79;24,12;211,1;0,574
1300631;BERURI;68,85;6,83;27,95;193,4;0,506
1300680;BOA VISTA DO RAMOS;69,99;7,83;8,61;175,55;0,565
1300706;BOCA DO ACRE;71,59;7,53;29,56;288,42;0,588
1300805;BORBA;71,53;7,92;17,29;219,83;0,56
1300839;CAAPIRANGA;71,49;7,77;16,27;235,49;0,569
1300904;CANUTAMA;70,1;6,86;31,5;206,44;0,53
1301001;CARAUARI;69,68;7,22;31,44;222,32;0,549
1301100;CAREIRO;71,76;7,91;14,86;197,06;0,557
